Order,Issue,Title,Slice,Milestone,Dependencies,File
29,AS-032,Sandbox abuse and containment tests,S2,M5 Tools,AS-031B,issues/AS-032-sandbox-security-tests.md
30,AS-033,GitHub read adapter plus approval-gated PR comment,S2,M5 Tools,AS-014 AS-021 AS-022,issues/AS-033-github-adapter.md
31,AS-024,LLM provider abstraction and usage accounting,S3,M4 Agent,AS-002 AS-005,issues/AS-024-llm-provider.md
32,AS-027,Prompt registry and version governance,S3,M4 Agent,AS-024,issues/AS-027-prompt-governance.md
33,AS-025,Typed agent state and context provenance,S3,M4 Agent,AS-006 AS-024,issues/AS-025-agent-context.md
34,AS-026,LangGraph bounded planning subgraph,S3,M4 Agent,AS-013 AS-024 AS-025 AS-027,issues/AS-026-langgraph-planner.md
35,AS-028,"Integrate planner with Temporal, authorization, and gateway",S3,M4 Agent,AS-020 AS-026 AS-014 AS-012,issues/AS-028-planner-workflow-integration.md
36,AS-028B,Deterministic adversarial planner,S3,M4 Agent,AS-012 AS-014 AS-026 AS-028,issues/AS-028B-adversarial-planner.md
37,AS-034,Build repository security fixture corpus and hidden ground truth,S3,M6 Evaluation,AS-015 AS-029 AS-030,issues/AS-034-repo-fixtures.md
38,AS-035,Build indirect prompt-injection and poisoned-tool corpus,S3,M6 Evaluation,AS-025 AS-034 AS-016 AS-018,issues/AS-035-injection-corpus.md
39,AS-036,Build unauthorized capability and approval attack corpus,S3,M6 Evaluation,AS-012 AS-016 AS-018 AS-033,issues/AS-036-privilege-hitl-corpus.md
40,AS-037,Deterministic evaluation scorers,S3,M6 Evaluation,AS-034 AS-035 AS-036 AS-023,issues/AS-037-eval-scorers.md
41,AS-039,Pre-register thresholds and protect against silent drift,S3,M6 Evaluation,AS-037,issues/AS-039-preregister-thresholds.md
42,AS-038,Evaluation ablation runner,S3,M6 Evaluation,AS-028 AS-028B AS-031B AS-037 AS-039,issues/AS-038-ablation-runner.md
43,AS-040,Full benchmark runner and generated reports,S3,M6 Evaluation,AS-035 AS-036 AS-038 AS-039,issues/AS-040-full-eval-reporting.md
44,AS-041,"OpenTelemetry, Prometheus, Grafana, and audit replay",S4,M7 Hardening,AS-028 AS-040,issues/AS-041-observability.md
45,AS-042,"Minimal demo UI, README hardening, and release gate",S4,M7 Hardening,AS-021 AS-040 AS-041,issues/AS-042-demo-ui-portfolio.md
